"id","名 称","名称カナ","所在地","電話","常勤薬剤師の人数","非常勤薬剤師の人数","常勤薬剤師数及び非常勤薬剤師数を常勤換算した数との合計数","前年の実施件数","前年（前年度）の患者数（延べ数）","前年の延件数","前年の実数"
"14114836","薬樹薬局　よこうち","ヤクジュヤッキョクヨコウチ","ヒラツカシヨコウチ２７３０－３アオイビレッジショウナン１０３ゴウシツ","0463-55-9080","3","3","4.5","1","28057","393","57"
"14114844","湘南２０１薬局平塚店","ショウナンニマルイチヤッキョクヒラツカテン","ヒラツカシタムラ５－５－２２","0463-51-5511","2","2","1.5","0","12177","0","57"
"14114852","クオール薬局平塚四之宮店","クオールヤッキョクヒラツカシノミヤテン","ヒラツカシシノミヤ２－２１－２２","0463-25-0230","2","16","2.7","0","22408","16","1"
"14114860","きく薬局","キクヤッキョク","ヒラツカシシノミヤ５－２０－３","0463-51-4127","3","8","3","2","15509","14","1"
"14114895","キラリ薬局真土店","キラリヤッキョクシンドテン","ヒラツカシヒガシシンド４－９－２８","0463-54-7168","4","0","4","2","2887","143","15"
"14114909","さくら薬局平塚東真土店","サクラヤッキョクヒラツカヒガシシンドテン","ヒラツカシヒガシシンド４－１９－６","0463-55-3241","1","1","1","0","8000","464","464"
"14114925","みつばち薬局平塚店","ミツバチヤッキョクヒラツカテン","ヒラツカシニシシンド１－７－２１","0463-55-5282","1","3","2","5","20853","1558","12"
"14114933","きく薬局八千代店","キクヤッキョクヤチヨテン","ヒラツカシヤチヨチョウ１４－１５","0463-26-6696","2","7","2.6","0","13508","443","5"
"14114941","ヤマグチ薬局平塚北口店","ヤマグチヤッキョクヒラツカキタグチテン","ヒラツカシオイマツチョウ５－３","0463-20-5556","2","5","2.0","0","12449","0","0"
"14114968","シオン薬局ラスカ店","シオンヤッキョクラスカテン","ヒラツカシタカラチョウ１－１　ショウナンステーションビル（ラスカ）３カイ","0463-23-4671","1","6","3.6","0","25245","0","0"
"14114976","龍元堂","リュウゲンドウ","ヒラツカシタカラチョウ１１－３","0463-22-1555","1","0","1","0","0","0","0"
"14114984","有限会社昭和薬局","ユウゲンガイシャ　ショウワヤッキョク","ヒラツカシタカラチョウ５－２２","0463-21-1025","3","8","4.3","0","22866","0","3"
"14114992","湘南調剤薬局","ショウナンチョウザイヤッキョク","ヒラツカシタカラチョウ１２－１８","0463-23-5654","1","4","2","0","6501","183","0"
"14115000","湘南平塚薬局","ショウナンヒラツカヤッキョク","ヒラツカシミヤノマエ６－２","0463-25-2650","3","2","4.8","4","16228","2362","20"
"14115026","有限会社諏訪薬局","ユウゲンガイシャスワヤッキョク","ヒラツカシミヤマツチョウ１－１０","0463-21-2393","1","0","1.0","0","955","0","0"
"14115042","有限会社一星堂薬局","ユウゲンガイシャイッセイドウヤッキョク","ヒラツカシアカシチョウ１４－８","0463-21-1507","0","5","1.7","0","1303","0","0"
"14115069","岡本薬局","オカモトヤッキョク","ヒラツカシ　アカシチョウ　９－５","0463-21-0178","2","0","2","6","5059","38","43"
"14115085","スズヤ薬局本店","スズヤヤッキョクホンテン","ヒラツカシベニヤチョウ９－１ー１０２","0463-21-0168","2","1","2.5","0","16313","0","0"
"14115107","有限会社ユーコー調剤薬局","ユウゲンカイシャユーコーチョウザイヤッキョク","ヒラツカシベニヤチョウ１６－７","0463-24-3882","2","5","4.0","11","20505","24","100"
"14115123","にしき薬局","ニシキヤッキョク","ヒラツカシニシキチョウ７－１６　サンヒルズショウナン１０２","0463-25-6045","1","3","2","2","12595","0","2"
"14115158","調剤今井薬局","チョウザイイマイヤッキョク","ヒラツカシミツケチョウ３－８","0463-35-4717","1","4","2.3","0","9799","0","0"
"14115166","株式会社田中薬局","カブシキガイシャタナカヤッキョク","ヒラツカシミツケチョウ１７－２０","0463-36-2155","1","0","1.0","0","0","0","0"
"14115174","あおば薬局","アオバヤッキョク","ヒラツカシタツノチョウ１７－３５","0463-36-5558","1","1","1.7","0","8882","24","25"
"14115190","快心堂薬局","カイシンドウヤッキョク","ヒラツカシタテノチョウ","0463-33-4668","2","7","3.6","0","8561","0","0"
"14115204","建幸薬局","ケンコウヤッキョク","ヒラツカシタツノチョウ１０－５","0463-36-0685","1","1","1.0","0","5326","0","0"
"14115212","東明薬局平塚店","トウメイヤッキョクヒラツカテン","ヒラツカシオイワケ８－７","0463-33-4976","1","1","1.8","0","4270","0","0"
"14115239","アイリス薬局","アイリスヤッキョク","ヒラツカシヒラツカ５－２２－３２","0463-34-0039","3","0","3","2","5192","300","4"
"14115247","みやま薬局平塚２丁目店","ミヤマヤッキョクヒラツカニチョウメテン","ヒラツカシヒラツカ２－１２－１３","0463-36-3681","0","5","2","0","7200","0","3"
"14115255","有限会社稲元薬局","ユウゲンガイシャイナモトヤッキョク","ヒラツカシヒラツカ４－２－３","0463-31-1830","3","0","3","4","6241","340","0"
"14115263","平塚漢方堂薬局","ヒラツカカンポウドウヤッキョク","ヒラツカシヒラツカ２－１－９","0463-32-2286","1","1","1.2","0","0","0","0"
"14115280","なかざと薬局","ナカザトヤッキョク","ヒラツカシナカザト２１－３０","0463-36-8020","2","2","2.2","0","6780","51","58"
"14115298","平塚中郡薬剤師会保健センター薬局","ヒラツカナカグンヤクザイシカイホケンセンターヤッキョク","ヒラツカシヒガシトヨダ４４８－３","0463-55-2193","1","53","2.1","0","9746","0","0"
"14115301","有限会社文隣堂あつみ薬局","ユウゲンガイシャブンリンドウアツミヤッキョク","ヒラツカシナカザト４－３","0463-32-2264","1","0","1","2","1800","15","5"
"14115310","たるもと薬局平塚店","タルモトヤッキョクヒラツカテン","ヒラツカシゴテン３－３－３４","0463-33-5177","1","3","1,3","10","10861","0","3"
"14115328","クリエイト薬局平塚御殿店","クリエイトヤッキョクヒラツカゴテンテン","ヒラツカシゴテン１－２８－５","0463-37-4805","10","29","39.0","2","44750","201","18"
"14115336","望星平塚薬局","ボウセイヒラツカヤッキョク","ヒラツカシフジミチョウ８－４４","0463-33-1193","5","5","5","0","17880","0","0"
"14115344","平塚シティ薬局","ヒラツカシティヤッキョク","ヒラツカシフジミチュウ１０－２３","0463-36-8212","3","1","3.2","1","5151","2","3"
"14115352","株式会社アサヒファーマシー追分薬局","カブシキガイシャアサヒファーマシーオイワケヤッキョク","ヒラツカシフジミチョウ８－４６","0463-35-4711","5","5","8.0","0","25753","20","1"
"14115360","アイン薬局平塚店","アインヤッキョクヒラツカテン","ヒラツカシタンジョウガオカ１３－２３","0463-30-6166","4","0","4","0","3372","57","12"
"14115379","株式会社平塚中郡薬剤師会支援センター薬局","カブシキガイシャヒラツカナカグンヤクザイシカイシエンセンターヤッキョク","ヒラツカシミナミハラ１－２０－２３","0463-31-2111","6","2","7.0","2","22482","367","35"
"14115387","サイトウ薬局","サイトウヤッキョク","ヒラツカシニシヤワタ２－１０－３５","0463-22-0086","2","0","2","0","5200","0","2"
"14115409","中原薬局","ナカハラヤッキョク","ヒラツカシ　ナカハラ　２－４－４５","0463-30-0525","1","3","2.1","0","5133","0","0"
"14115417","アプリ薬局","アプリヤッキョク","ヒラツカシナカハラ１－１５－１４","0463-33-7980","1","3","2","0","8885","34","22"
"14115425","富士見薬局中原店","フジミヤッキョクナカハラテン","ヒラツカシナカハラ３－１７－７","0463-33-7321","1","0","0","0","3616","0","5"
"14115433","松が丘調剤薬局","マツガオカチョウザイヤッキョク","ヒラツカシヒガシナカハラ１－１９－１７","0463-35-8931","1","4","1.5","0","10542","0","1"
"14115441","カネコ薬局","カネコヤッキョク","ヒラツカシヒガシナカハラ１－１５－７","0463-32-7703","1","0","0.0","0","1672","27","0"
"14115450","はまゆう薬局平塚店","ハマユウヤッキョクヒラツカテン","ヒラツカシミナミトヨタ２６－５","0463-37-5235","1","1","1.5","0","11623","6","0"
"14115468","有限会社富士見薬局豊田店","ユウゲンガイシャフジミヤッキョクトヨダテン","ヒラツカシ　ミナミトヨダ　１９－１","0463-33-2807","2","0","2","1","7990","0","2"
"14115484","サンドラッグ平塚夕陽ヶ丘薬局","サンドラッグヒラツカユウヒガオカヤッキョク","ヒラツカシユウヒガオカ６２－１","0463-24-8033","2","9","2.1","0","6229","287","0"
"14115492","東銀座薬局平塚支店","ヒガシギンザヤッキョクヒラツカシテン","ヒラツカシダイカンチョウ２１－４","0463-23-3939","4","1","4","2","10917","24","13"
"14115506","セイムス平塚南口薬局","セイムスヒラツカミナミグチヤッキョク","ヒラツカシダイカンチョウ９－２６","0463-20-2680","2","2","2","12","12120","16","3"
"14115522","キラリ薬局八重咲店","キラリヤッキョクヤエザキテン","ヒラツカシヤエザキチョウ２－５","0463-25-5330","5","0","5","1","12605","1267","0"
"14115530","有限会社日新堂薬局","ユウゲンガイシャニッシンドウヤッキョク","ヒラツカシヤエザキチョウ５－１","0463-21-1450","1","1","2","0","4239","0","0"
"14115557","サカエ薬局","サカエヤッキョク","ヒラツカシヤエザキチョウ１５－２０","0463-24-3677","1","4","2.3","0","10653","68","68"
"14115565","はら薬局平塚店","ハラヤッキョクヒラツカテン","ヒラツカシヤエザキチョウ３－３２","0463-27-1666","3","0","3","1","16944","0","4"
"14115573","有限会社つかさ薬局","ユウゲンガイシャツカサヤッキョク","ヒラツカシヤエザキチョウ２５－８","0463-24-1150","1","4","2","0","12500","0","1"
"14115581","昌平堂薬局","ショウヘイドウヤッキョク","ヒラツカシソデガハマ１４－１６","0463-21-3336","1","0","1","2","2025","0","6"
"14115590","陽だまり松風調剤薬局","ヒダマリマツカゼチョウザイヤッキョク","ヒラツカシソデガハマ１－２","0463-24-0677","2","3","3.2","4","10618","13","8"
"14115603","みやま薬局本店","ミヤマヤッキョク　ホンテン","ヒラツカシクロベオカ２－５２","0463-31-4703","1","3","3","0","9000","50","5"
"14115611","有限会社ハマタケ薬局","ユウゲンガイシャハマタケヤッキョク","ヒラツカシ　スミレダイラ１９－２４","0463-31-2730","2","1","2.3","1","11248","13","0"
